latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
44.718,26.972,311.5,1.5,1.2,2019-10-18,1050,A,62,6.0NRT,298.6,9,D
44.714,26.954,311.7,1.5,1.2,2019-10-18,1050,A,60,6.0NRT,299.5,9.2,D
44.781,26.947,320.2,1.5,1.2,2019-10-18,1050,A,76,6.0NRT,299.8,23.7,D
44.777,26.928,314.6,1.5,1.2,2019-10-18,1050,A,69,6.0NRT,299.7,14.7,D
44.255,24.361,307.9,2.1,1.4,2019-10-18,1050,A,49,6.0NRT,297.1,12.7,D
44.254,24.357,307.8,2.1,1.4,2019-10-18,1050,A,49,6.0NRT,297,12.2,D
44.61,25.568,307.6,1.8,1.3,2019-10-18,1050,A,52,6.0NRT,296.5,9.6,D
46.122,33.364,317.2,1,1,2019-10-18,1050,A,74,6.0NRT,294.2,12.4,D
46.158,33.08,312.7,1,1,2019-10-18,1050,A,59,6.0NRT,294.8,9.1,D
44.589,23.271,304.9,2.4,1.5,2019-10-18,1050,A,49,6.0NRT,294.5,14.1,D
46.036,29.945,319.4,1.1,1,2019-10-18,1050,A,76,6.0NRT,297.9,14.4,D
46.868,32.672,310,1,1,2019-10-18,1050,A,59,6.0NRT,296,5.8,D
46.866,32.66,310.7,1,1,2019-10-18,1050,A,61,6.0NRT,297.1,6.1,D
44.645,21.033,312.4,3.2,1.7,2019-10-18,1050,A,72,6.0NRT,294.5,41.7,D
46.971,32.292,327.9,1,1,2019-10-18,1050,A,83,6.0NRT,300.1,21.7,D
44.792,20.859,310.6,3.2,1.7,2019-10-18,1050,A,50,6.0NRT,296.1,22.6,D
47.125,32.468,312.8,1,1,2019-10-18,1050,A,64,6.0NRT,300.4,5.8,D
44.801,20.768,328.5,3.2,1.7,2019-10-18,1050,A,86,6.0NRT,296.7,119.7,D
44.816,20.76,311.9,3.2,1.7,2019-10-18,1050,A,72,6.0NRT,296.2,34.3,D
44.858,20.988,308.6,3.1,1.7,2019-10-18,1050,A,50,6.0NRT,295.4,24.7,D
44.798,20.761,328.9,3.2,1.7,2019-10-18,1050,A,86,6.0NRT,296.8,123.3,D
44.823,20.792,307.8,3.2,1.7,2019-10-18,1050,A,60,6.0NRT,295,18.6,D
44.813,20.754,310.9,3.2,1.7,2019-10-18,1050,A,71,6.0NRT,296.4,30.8,D
44.904,20.793,309.3,3.2,1.7,2019-10-18,1050,A,68,6.0NRT,295.1,28.3,D
44.894,20.754,308.2,3.2,1.7,2019-10-18,1050,A,67,6.0NRT,295.7,24.9,D
44.902,20.79,310.9,3.2,1.7,2019-10-18,1050,A,70,6.0NRT,295.3,34.6,D
45.079,21.159,309.7,3,1.7,2019-10-18,1050,A,61,6.0NRT,296.5,20.7,D
44.993,20.829,309.3,3.2,1.7,2019-10-18,1050,A,68,6.0NRT,295.6,26.1,D
46.707,28.511,312,1.2,1.1,2019-10-18,1050,A,67,6.0NRT,298.7,8.2,D
45.088,21.187,311.6,3,1.6,2019-10-18,1050,A,58,6.0NRT,296.8,27.1,D
44.895,19.67,306,3.7,1.8,2019-10-18,1050,A,55,6.0NRT,292.9,25.1,D
45.062,19.765,314.5,3.6,1.8,2019-10-18,1050,A,73,6.0NRT,293.5,61.3,D
47.489,31.101,313.4,1,1,2019-10-18,1050,A,61,6.0NRT,302.1,5.1,D
47.414,30.38,314.7,1,1,2019-10-18,1050,A,65,6.0NRT,300.7,7.4,D
47.412,30.366,318.7,1,1,2019-10-18,1050,A,72,6.0NRT,301.2,11.3,D
47.87,33.383,306.8,1,1,2019-10-18,1050,A,26,6.0NRT,295.6,5.4,D
47.315,29.606,320.7,1.1,1,2019-10-18,1050,A,76,6.0NRT,300.6,14.6,D
45.454,20.806,314.4,3.1,1.7,2019-10-18,1050,A,73,6.0NRT,295.5,46.4,D
45.444,20.769,308,3.1,1.7,2019-10-18,1050,A,63,6.0NRT,295.8,21.3,D
45.347,19.976,323.9,3.4,1.7,2019-10-18,1050,A,82,6.0NRT,294,105.4,D
45.336,19.935,310.6,3.4,1.7,2019-10-18,1050,A,68,6.0NRT,293.9,35.1,D
48.187,34.896,308.2,1.1,1.1,2019-10-18,1050,A,57,6.0NRT,297.3,6.4,D
47.466,29.722,317.1,1.1,1,2019-10-18,1050,A,71,6.0NRT,303.3,10.5,D
45.342,19.971,327.1,3.4,1.7,2019-10-18,1050,A,84,6.0NRT,294.1,120.3,D
45.437,20.011,311.9,3.4,1.7,2019-10-18,1050,A,70,6.0NRT,293.8,41,D
47.549,29.714,312.6,1.1,1,2019-10-18,1050,A,62,6.0NRT,301.8,6.2,D
45.672,20.719,309.2,3,1.7,2019-10-18,1050,A,65,6.0NRT,294.9,24,D
45.662,20.682,310.2,3.1,1.7,2019-10-18,1050,A,67,6.0NRT,295.5,27.7,D
45.671,20.715,310.1,3,1.7,2019-10-18,1050,A,67,6.0NRT,294.9,27,D
45.661,20.679,309.3,3.1,1.7,2019-10-18,1050,A,65,6.0NRT,295.4,23.6,D
45.764,20.953,306.9,2.9,1.6,2019-10-18,1050,A,61,6.0NRT,294.6,17.7,D
47.732,30.391,327.2,1,1,2019-10-18,1050,A,81,6.0NRT,301.6,19.6,D
48.26,33.257,314.6,1,1,2019-10-18,1050,A,69,6.0NRT,298.5,10,D
47.823,30.032,315.8,1,1,2019-10-18,1050,A,68,6.0NRT,300.5,8.4,D
47.727,29.394,312.3,1.1,1,2019-10-18,1050,A,63,6.0NRT,301.2,5.9,D
48.155,31.96,323.1,1,1,2019-10-18,1050,A,78,6.0NRT,299.7,15.4,D
47.706,29.04,311.1,1.1,1,2019-10-18,1050,A,61,6.0NRT,299.6,6.7,D
47.593,28.395,316.6,1.2,1.1,2019-10-18,1050,A,73,6.0NRT,300.5,12.7,D
